sel,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
242,The Cult of Dionysus,The Orion Experience,pov: indie,2006,2024‑03‑12,138,84,66,-4,3,80,187,1,3,66
243,Devil Trigger,Casey Edwards,sound team,2019,2024‑03‑12,160,94,50,-7,11,35,405,0,26,24
244,I Wanna Be Yours,Arctic Monkeys,garage rock,2013,2024‑03‑11,68,42,46,-9,10,48,184,14,3,90
245,Apocalypse,Cigarettes After Sex,ambient pop,2017,2024‑03‑11,94,47,37,-9,11,18,291,2,3,87
246,Always Forever,Cults,experimental pop,2013,2024‑03‑11,163,74,17,-6,20,36,224,0,5,79
247,don't run away okay?,Sugure Joka,chill breakcore,2023,2024‑03‑11,165,60,40,-9,19,8,145,0,3,10
248,All Star,Smash Mouth,pop rock,1999,2024‑03‑11,104,87,73,-6,9,78,200,4,3,78
249,Never Meant to Know,Tally Hall,ann arbor indie,2011,2024‑03‑11,132,87,56,-5,13,54,220,3,4,49
250,Two Wuv,Tally Hall,ann arbor indie,2005,2024‑03‑11,138,81,60,-6,7,69,223,2,7,51
251,Kids,MGMT,alternative rock,2007,2024‑03‑07,123,93,45,-4,36,17,303,0,7,77
252,Supermassive Black Hole,Muse,alternative rock,2006,2024‑03‑07,120,92,67,-4,9,78,212,5,4,77
253,I Can't Fix You (feat. Crusher-P),The Living Tombstone,otacore,2016,2024‑03‑06,174,80,46,-5,11,36,279,0,5,59
254,CRIME SCENE,I'm Geist,,2023,2024‑03‑06,146,100,51,-8,12,11,120,0,15,39
255,The Only Thing I Know For Real - Maniac Agenda Mix - Instrumental,Tyson Yen,video game music,2013,2024‑03‑06,145,98,42,-8,28,70,146,0,5,34
256,Home Alone (with Marnik),Naeleck,electro,2023,2024‑03‑01,150,87,59,-4,14,61,128,38,9,66
257,Dog Nightmare,Jack Stauber,hypnagogic pop,2017,2024‑03‑01,154,45,70,-13,18,73,176,74,11,53
258,Little Dark Age,MGMT,alternative rock,2018,2024‑02‑29,98,71,71,-6,10,62,300,1,4,76
259,Dark Beach,Pastel Ghost,dark synthpop,2015,2024‑02‑29,130,92,53,-7,9,15,222,28,4,60
260,Goth,Sidewalks and Skeletons,wave,2015,2024‑02‑29,115,70,56,-9,10,17,207,0,3,72
261,The Perfect Girl,Mareux,dark synthpop,2021,2024‑02‑29,129,89,49,-6,10,26,194,0,9,76
262,Ma Ya Hi (Dragostea Din Tei) (feat. Lucas Prata),O-Zone,eurodance,2004,2024‑02‑29,130,94,74,-4,6,86,217,18,4,37
263,Neo Tokyo,Perturbator,cyberpunk,2016,2024‑02‑28,140,100,52,1,11,15,253,0,9,41
264,プロサウンドの逆襲,TORIENA,denpa-kei,2017,2024‑02‑26,150,96,54,-6,4,97,185,0,6,25
265,Tempestissimo,t+pazolite,denpa-kei,2020,2024‑02‑26,116,94,46,-5,6,21,138,0,8,37
266,&,Tally Hall,ann arbor indie,2011,2024‑02‑26,96,88,53,-5,35,73,195,0,4,60
267,No More - Remastered,Manfred Minnich,,2021,2024‑02‑24,122,52,47,-6,30,58,158,9,3,41
268,Mary - Guitar Version,noturgf,sped up,2023,2024‑02‑23,119,26,71,-15,12,67,174,88,7,56
269,Agony - Instrumental,TheExorcist,corecore,2023,2024‑02‑23,150,21,56,-25,11,64,302,98,3,2
270,Ba-Da-Ba,2 Mello,indie game soundtrack,2018,2024‑02‑22,133,72,79,-7,5,96,237,14,3,41
271,The Stains of Time - Maniac Agenda Mix,Kit Walters,video game music,2013,2024‑02‑21,200,92,26,-6,16,59,130,0,9,57
272,UltraChurch (ULTRAKILL) (Original Game Soundtrack),Keygen Church,,2023,2024‑02‑21,184,96,31,-6,35,35,233,0,7,48
273,Two Time,Jack Stauber's Micropop,pov: indie,2018,2024‑02‑20,99,35,83,-10,9,69,140,11,4,63
274,Cosmic War,Exyl,speedrun,2023,2024‑02‑20,121,85,65,-4,34,70,154,4,26,32
275,Love Taste,Moe Shop,future funk,2016,2024‑02‑20,110,64,67,-8,16,59,176,0,28,59
276,Camel By Camel - Metal Version,Little V.,,2021,2024‑02‑20,110,88,59,-6,14,69,239,0,4,42
277,The Less I Know The Better,Tame Impala,australian psych,2015,2024‑02‑20,117,74,64,-4,17,79,216,1,3,83
278,Cure For Me,AURORA,art pop,2022,2024‑02‑18,116,74,73,-7,9,41,202,10,6,61
279,Metallic Madness Zone Act 2,Tee Lopes,sound team,2018,2024‑02‑16,143,94,65,-7,7,94,156,0,4,52
280,GAS GAS GAS - EXTENDED MIX,Manuel,super eurobeat,2019,2024‑02‑14,154,95,45,-5,34,74,261,0,5,59
281,BATTLE UNDER A BROKEN SKY,AZALI,sillycore,2023,2024‑02‑14,180,84,44,-11,12,32,76,37,5,49
282,Deep Blue,Heaven Pierce Her,video game music,2022,2024‑02‑14,180,62,43,-11,16,4,322,0,6,43
283,All Eyes On Me,Fox Stevenson,complextro,2020,2024‑02‑13,172,92,45,-3,29,60,181,0,8,45
284,Regain Control,Shirobon,chiptune,2019,2024‑02‑13,90,68,66,-7,19,43,195,36,4,37
285,Your Contract Has Expired,Pascal Michael Stiefel,indie game soundtrack,2017,2024‑02‑12,124,90,47,-8,45,28,234,0,3,35
286,Dance of Thorns,TenseiMusic,,2016,2024‑02‑12,100,95,40,-3,21,36,241,0,7,36
287,"A Dramatic Irony (From ""Honkai: Star Rail"") - Kafka Theme",tnbee,japanese vgm,2023,2024‑02‑09,82,60,60,-11,9,28,227,29,6,45
288,Ruler of Everything,Tally Hall,ann arbor indie,2005,2024‑02‑09,83,79,58,-8,8,34,222,20,32,60
289,Mr. Fear,SIAMES,pop argentino,2016,2024‑02‑09,108,66,64,-7,46,67,247,5,3,54
290,Smells Like Teen Spirit,Nirvana,grunge,1991,2024‑02‑08,117,91,50,-5,11,72,302,0,6,77
291,The Pretender,Foo Fighters,alternative metal,2007,2024‑02‑08,173,96,43,-4,3,37,269,0,4,76
292,Enjoy the Silence,Depeche Mode,dance rock,2020,2024‑02‑08,113,67,63,-12,8,83,258,21,3,15
293,Everybody Wants To Rule The World,Tears For Fears,new romantic,1985,2024‑02‑08,112,80,65,-12,10,54,251,35,5,85
294,Babaroque - Original Mix,cYsmix,speedrun,2016,2024‑02‑08,136,90,59,-6,8,55,287,0,7,34
295,Odeyowa,Liquexx,german trance,2020,2024‑02‑08,140,92,63,-9,12,4,289,18,14,38
296,Freedom Dive,XI,rhythm game,2011,2024‑02‑07,111,95,41,-5,37,7,270,0,12,45
297,Somebody Told Me,The Killers,alternative rock,2004,2024‑02‑07,138,97,50,-5,10,69,197,0,8,80
298,Take Me Out,Franz Ferdinand,alternative rock,2004,2024‑02‑07,105,66,28,-9,14,53,237,0,4,81
299,Kickstart My Heart,Mötley Crüe,album rock,1989,2024‑02‑01,179,98,36,-4,28,28,283,0,30,59
300,poisoned,68+1,chill breakcore,2023,2024‑01‑31,133,55,38,-15,8,33,112,81,5,33
301,i like you,Sugure Joka,chill breakcore,2023,2024‑01‑31,86,82,20,-12,24,58,91,2,5,15
302,Assassin's Creed IV Black Flag Main Theme,Brian Tyler,orchestral soundtrack,2013,2024‑01‑30,128,62,32,-12,8,32,133,4,6,54
303,Dragonborn,Jeremy Soule,orchestral soundtrack,2013,2024‑01‑30,67,48,19,-13,11,12,236,90,8,57
304,"Irgendwie, Irgendwo, Irgendwann",Jiyagi,frenchcore,2020,2024‑01‑29,103,99,50,-1,49,18,207,3,9,49
305,"Irgendwie, irgendwo, irgendwann (Special 12"" Dance Mix)",Nena,german pop,1985,2024‑01‑29,203,60,35,-13,21,47,437,0,4,50
306,Plastic Beach (feat. Mick Jones and Paul Simonon),Gorillaz,alternative hip hop,2010,2024‑01‑29,184,89,54,-5,6,50,227,0,9,63
307,The Race Around the World,Waterflame,speedrun,2012,2024‑01‑29,175,97,55,-9,32,93,169,1,5,41
308,"Empress of Light (From ""Terraria"")",Kuudray,,2020,2024‑01‑29,170,83,48,-11,16,11,282,1,7,31
309,Violent Purple,meganeko,chiptune,2022,2024‑01‑29,135,89,54,-9,19,49,216,0,5,31
310,BIG SHOT - Traditional Japanese Version,Hyuman,,2021,2024‑01‑29,140,92,59,-10,14,46,177,1,5,35
311,Smells Like Teen Spirit - Remastered,Nirvana,grunge,1991,2024‑01‑29,117,92,49,-5,9,69,301,0,6,53
312,Kickstart My Heart,Mötley Crüe,album rock,2000,2024‑01‑29,90,97,46,-5,37,27,283,0,18,56
313,Wrecking Ball,Mother Mother,canadian indie rock,2008,2024‑01‑29,97,80,66,-4,34,28,194,19,4,65
314,bedroom community,glass beach,5th wave emo,2019,2024‑01‑29,135,69,46,-5,37,34,361,5,5,47
315,(Don't Fear) The Reaper,Blue Öyster Cult,album rock,1976,2024‑01‑27,141,93,33,-9,30,39,308,0,7,75
316,Dream On,Aerosmith,album rock,1973,2024‑01‑27,78,48,39,-8,31,23,268,40,2,80
317,Ultimate Destruction,TMM43,,2023,2024‑01‑27,140,92,65,-8,11,59,166,41,4,39
318,Holy War,Boom Kitty,speedrun,2017,2024‑01‑27,128,92,59,-5,10,25,250,0,4,32
319,/ / // / /,x0o0x_,vocaloid,2020,2024‑01‑26,65,74,53,-4,38,78,134,1,6,44
320,Theme of Ken,Capcom Sound Team,japanese vgm,2016,2024‑01‑26,100,98,47,-5,15,55,185,0,5,12
321,Jetpack Joyride Main Theme,Halfbrick,meme,2021,2024‑01‑26,123,87,66,-8,27,92,133,0,3,48
322,Let’s Go,Stuck in the Sound,french rock,2012,2024‑01‑26,89,62,49,-5,18,28,211,1,3,56
323,Crimewave,Crystal Castles,alternative dance,2008,2024‑01‑26,120,69,74,-8,20,88,258,20,4,62
324,Timeline,Chikoi The Maid,maidcore,2023,2024‑01‑24,90,84,54,-7,11,15,307,0,5,0
325,Cuando Apenas Era Un Jovencito,Johnny Dinamo,mexican rock-and-roll,2002,2024‑01‑24,149,55,67,-8,9,96,124,10,4,20
326,La Llorona Loca,Los Gliders,mexican rock-and-roll,1962,2024‑01‑24,89,69,76,-10,35,96,138,77,5,21
327,Broken Boy,Cage The Elephant,modern alternative rock,2019,2024‑01‑24,166,93,52,-3,12,56,163,0,10,58
328,Universal Collapse,DM DOKURO,pixel,2020,2024‑01‑24,100,98,36,-2,19,21,257,0,9,51
329,Tires on Fire,coda,,2016,2024‑01‑24,159,97,44,-5,11,78,127,0,4,3
330,Death's Theme x Kai's Theme,Carameii,,2023,2024‑01‑24,142,85,26,-7,4,12,175,33,8,0
331,Sweater Weather,The Neighbourhood,modern alternative rock,2013,2024‑01‑23,124,81,61,-3,10,40,240,5,3,90
332,Sugar Pills,I DONT KNOW HOW BUT THEY FOUND ME,alt z,2020,2024‑01‑22,122,85,63,-4,20,81,187,0,3,48
333,awake,68+1,chill breakcore,2023,2024‑01‑22,92,79,48,-8,15,8,72,42,7,27
334,limited in love,usedcvnt,chill breakcore,2023,2024‑01‑22,160,97,34,-5,13,4,172,0,7,42
335,A Sweet Dream For The Broken,Cvmpliant,chill breakcore,2022,2024‑01‑22,136,73,63,-11,13,7,254,51,13,31
336,Blood Son,Locknar,,2020,2024‑01‑22,135,90,70,-5,81,43,210,0,6,26
337,Mc9.5 Mastered Version,Cheshyre,,2020,2024‑01‑22,140,76,53,-11,9,34,247,0,4,29
338,Turn Around,Michael Wyckoff,,2022,2024‑01‑22,159,97,43,-4,31,29,247,0,28,33
339,PRIME TURBO,Jameskii,classic k-pop,2022,2024‑01‑22,92,98,36,-6,37,43,156,0,5,29
340,I'm Being Reelistic,Omnitica,filthstep,2014,2024‑01‑19,115,85,42,-6,39,42,231,0,6,33
341,voicemails,68+1,chill breakcore,2023,2024‑01‑03,83,72,42,-10,24,48,106,17,4,30
342,"escapism. - breakcore, instrumental",breakcore girl,,2023,2024‑01‑03,192,94,38,-4,9,23,124,1,23,25
343,your eyes,68+1,chill breakcore,2023,2024‑01‑02,170,86,42,-9,11,26,147,0,4,40
344,Unholy Insurgency,DM DOKURO,pixel,2020,2024‑01‑02,180,93,27,-3,13,27,318,0,14,42
345,"anybody can find love (except you.) - breakcore, instrumental",breakcore girl,,2023,2023‑12‑29,128,94,65,-5,9,58,120,83,4,42
346,Vanishing Shore (From “Call of Duty: Vanguard - The Archon”),James McCawley,video game music,2023,2023‑12‑15,90,67,46,-8,5,23,420,4,3,11
347,Boat Deck (From “Call of Duty: Black Ops -Redemption”),Kevin Sherwood,video game music,2023,2023‑12‑15,100,60,47,-10,34,39,63,2,3,26
348,The Girl from Hotel Reyes (From “Call of Duty: Black Ops - Hotel”),James McCawley,video game music,2023,2023‑12‑15,120,35,67,-17,11,89,89,64,5,22
349,Love Song No.5-5 (B-Side),maedasalt,chill breakcore,2021,2023‑12‑14,105,100,45,-8,9,14,59,19,5,35
350,I'm Cool,Chikoi The Maid,maidcore,2023,2023‑12‑14,90,72,59,-10,9,81,135,0,3,0
351,breakcore is dumb,Acidgvrl,chill breakcore,2023,2023‑12‑14,170,89,43,-9,19,18,82,0,4,42
352,My Last December,Chikoi The Maid,maidcore,2023,2023‑12‑14,98,88,38,-7,13,8,289,0,5,25
353,Alone (From “Call of Duty: Black Ops Cold War - Die Maschine”) - Instrumental,Kevin Sherwood,video game music,2023,2023‑12‑03,180,98,34,-7,40,10,344,0,15,17
354,Acid Bunny (From “Call of Duty: Black Ops Cold War - Mauer der Toten”),Brian Tuey,video game music,2023,2023‑12‑03,120,95,80,-8,6,8,194,0,4,18
355,Beauty of Annihilation (From “Call of Duty: Black Ops 3 - Der Riese”) - Brian Tuey Remix,Brian Tuey,video game music,2023,2023‑12‑03,110,64,56,-9,9,7,218,3,3,37
356,The Gift (From “Call of Duty: Black Ops 3 - Revelations”),Kevin Sherwood,video game music,2023,2023‑12‑03,130,96,50,-5,36,25,271,0,16,44
357,Lovesong for a Deadman (From “Call of Duty: Black Ops 2 - Tranzit”),James McCawley,video game music,2023,2023‑12‑03,212,44,64,-14,10,71,158,20,9,45
358,Always Running (From “Call of Duty: Black Ops 2 - Buried”),Kevin Sherwood,video game music,2023,2023‑12‑03,124,57,48,-7,33,12,356,26,3,44
359,Pareidolia Bitz (From “Call of Duty: Black Ops - Moon”),James McCawley,video game music,2023,2023‑12‑03,110,66,52,-12,9,53,100,0,3,16
360,Pareidolia (From “Call of Duty: Black Ops - Shangri-La”),Kevin Sherwood,video game music,2023,2023‑12‑03,200,92,38,-4,16,10,359,0,20,45
361,Alone (From “Call of Duty: Black Ops Cold War - Die Maschine”),Kevin Sherwood,video game music,2023,2023‑12‑03,90,96,49,-5,42,23,343,0,12,41
362,School Rooftop,Hisohkah,corecore,2020,2023‑11‑21,83,28,85,-9,9,28,168,9,23,58
363,Running Away,VANO 3000,canadian modern jazz,2021,2023‑11‑16,93,69,61,-11,14,70,112,69,4,62
364,Lost Soul - Slowed & Reverb,NBSPLV,sped up,2023,2023‑11‑16,90,52,91,-10,9,49,240,28,4,55
365,Nomad,blueberry,gym phonk,2023,2023‑11‑16,123,69,63,-5,13,54,119,37,5,50
366,ALL MY FELLAS,Frizk,meme,2023,2023‑11‑15,160,68,60,-11,6,72,141,1,5,65
367,Song of Storms,Mikel,lo-fi vgm,2018,2023‑11‑15,85,46,68,-8,12,47,218,2,3,48
368,Hold It In,Jukebox The Ghost,modern rock,2008,2023‑11‑09,132,75,76,-10,10,89,209,37,3,44
369,Aether,Virtual Mage,mallsoft,2020,2023‑11‑09,124,49,70,-10,12,69,206,0,3,46
370,World's End Valentine,Omori,video game music,2020,2023‑11‑03,162,96,28,-7,44,16,148,1,8,50
371,Halcyon,XI,rhythm game,2011,2023‑11‑02,96,91,40,-5,7,18,311,0,5,35
372,Kaguya,BlackY,rhythm game,2019,2023‑11‑01,168,98,39,-5,14,24,255,1,6,31
373,Zombies on Your Lawn,Laura Shigihara,video game music,2010,2023‑10‑26,105,40,73,-18,14,77,159,75,5,51
374,Eeeaaaooo,Xguiz,rhythm game,2020,2023‑10‑26,132,57,71,-3,5,42,149,10,14,0
375,Right Now,SR-71,,2000,2023‑10‑26,116,97,52,-3,32,73,167,0,4,57
376,Red Horizon,Creo,speedrun,2022,2023‑10‑25,130,92,76,-5,13,59,270,0,8,26
377,Disco on the Baltic Sea,Waveshaper,spacewave,2022,2023‑10‑19,110,83,65,-9,11,71,197,5,4,31
378,Classique,Adieu Aru,chillsynth,2022,2023‑10‑19,180,95,41,-8,12,67,232,1,4,44
379,vendetta!,MUPP,drift phonk,2022,2023‑10‑15,126,91,71,-4,11,67,107,18,15,69
380,Electrocore,Floxytek,frenchcore,2019,2023‑10‑10,150,98,43,-2,13,48,224,0,13,23
381,Breather,Chikoi The Maid,maidcore,2022,2023‑10‑09,115,90,64,-8,9,50,292,0,9,0
382,LOVELY BASTARDS - Remix,Kordhell,drift phonk,2023,2023‑10‑06,150,97,58,-2,64,38,96,17,21,59
383,LOVELY BASTARDS,ZWE1HVNDXR,ukrainian phonk,2023,2023‑10‑06,150,81,61,-6,14,69,116,83,49,76
384,Xample,Chikoi The Maid,maidcore,2023,2023‑10‑04,94,82,43,-7,69,26,190,0,8,0
385,Autumn Melancholy,Chikoi The Maid,maidcore,2022,2023‑10‑04,94,63,44,-11,14,11,250,0,6,0
386,Mental Warfare,Chikoi The Maid,maidcore,2022,2023‑10‑04,119,78,34,-8,67,42,274,0,36,0
387,That All about Your Fear,Chikoi The Maid,maidcore,2023,2023‑10‑04,185,92,41,-6,16,59,231,0,37,0
388,Triage at Dawn,morch kovalski,,2018,2023‑10‑03,90,46,34,-10,11,4,249,24,3,32
389,Questionable Ethics,morch kovalski,,2018,2023‑10‑01,130,98,53,-3,20,21,364,0,5,28
390,Forget About Freeman,morch kovalski,,2018,2023‑10‑01,75,92,38,-6,28,24,260,0,6,30
391,Killing Two Birds,Pascal Michael Stiefel,indie game soundtrack,2019,2023‑10‑01,134,89,48,-8,18,69,143,0,8,36
392,We've Got Hostiles,morch kovalski,,2018,2023‑10‑01,140,84,37,-5,7,33,288,0,7,37
393,Waves,Dance With the Dead,darksynth,2014,2023‑10‑01,125,89,62,-6,65,51,271,0,3,40
394,Shooting Star (Six Times),David Jackson,,2023,2023‑10‑01,124,80,61,-10,11,68,343,0,3,25
395,Looking For Tracy Tzu,Carpenter Brut,cyberpunk,2015,2023‑10‑01,109,88,51,-3,11,9,258,0,9,46
396,Terraform,TWRP,nightrun,2021,2023‑10‑01,100,83,57,-7,13,6,308,0,3,34
397,Memory Reboot,VØJ,traprun,2023,2023‑10‑01,81,89,47,-6,13,46,209,0,4,73
398,Undone,Kevin Sherwood,video game music,2011,2023‑09‑15,120,65,59,-8,13,12,231,22,3,41
399,Twilight,Brian Tuey,video game music,2011,2023‑09‑15,150,77,68,-12,12,71,199,1,5,31
400,Slight Chance of Zombies,James McCawley,video game music,2011,2023‑09‑15,120,96,46,-6,11,97,135,0,4,30
401,Lullaby Of A Deadman,Kevin Sherwood,video game music,2011,2023‑09‑15,160,80,52,-6,10,49,239,2,5,53
402,Theme from Call of Duty Black Ops II,Jack Wall,video game music,2012,2023‑09‑15,136,39,41,-15,9,8,338,46,3,44
403,Shadows (Outer Club Solar),Brian Tuey,video game music,2012,2023‑09‑15,134,86,75,-7,9,15,220,0,5,21
404,Ignition,Brian Tuey,video game music,2015,2023‑09‑15,100,56,52,-13,8,3,226,4,3,33
405,Call Of Duty: MW3,Brian Tyler,orchestral soundtrack,2011,2023‑09‑15,98,39,44,-13,10,26,131,14,3,46
406,Milky Way,Lofi Fruits Music,lo-fi cover,2022,2023‑09‑03,140,19,45,-20,11,11,110,79,4,38
407,141,Banda MS de Sergio Lizárraga,banda,2022,2023‑08‑25,123,57,83,-6,11,93,175,35,3,55
408,Moonlight Sonata - Original Mix,cYsmix,speedrun,2016,2023‑08‑09,128,96,68,-4,2,54,261,0,15,33
409,Duvet,bôa,pov: indie,2010,2023‑08‑08,93,89,58,-9,9,71,204,19,3,83
410,The Maze of Mayonnaise,Bossfight,chiptune,2012,2023‑08‑06,135,96,63,-3,24,63,191,0,7,38
411,Villain Virus,Kobaryo,j-core,2018,2023‑08‑06,130,100,50,-2,13,6,269,0,15,35
412,Another Halcyon (feat. Vila),XI,rhythm game,2015,2023‑08‑06,143,80,27,-9,40,28,397,6,12,20
413,Tiferet,XI,rhythm game,2015,2023‑08‑06,141,79,37,-9,31,50,176,0,13,22
414,Aragami,XI,rhythm game,2015,2023‑08‑06,98,75,40,-8,15,11,241,0,5,29
415,Tenebre Rosso Sangue (ULTRAKILL Original Game Soundtrack),Keygen Church,,2022,2023‑08‑02,88,95,28,-4,9,4,234,0,8,55
416,Amygdala's Rag Doll,Ghost and Pals,otacore,2018,2023‑07‑14,159,79,59,-8,30,61,275,72,5,59
417,"Song A (from ""Gauntlet"")",Josiah Everhart,otacore,2015,2023‑07‑14,109,92,47,-8,32,44,139,0,10,3
418,Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,anime,2005,2023‑07‑08,72,29,24,-13,12,19,311,88,4,67
419,Bad Apple!! feat. nomico,Alstroemeria Records,touhou,2008,2023‑07‑08,138,73,49,-4,7,26,319,0,3,52
420,Lent,Autoheart,hopebeat,2013,2023‑07‑05,102,93,62,-4,31,67,194,22,3,49
421,Pink Sand,EX-LYD,,2020,2023‑07‑03,168,92,52,-8,50,73,312,0,5,35
422,A Good Song Never Dies,Saint Motel,la indie,2021,2023‑07‑03,120,81,68,-4,7,56,201,5,4,58
423,A CYBER'S WORLD?,Toby Fox,indie game soundtrack,2021,2023‑07‑03,117,66,61,-10,11,89,166,9,4,51
424,My Sunset - Original Mix,Feint,chillstep,2011,2023‑06‑28,170,98,39,-4,8,32,326,0,3,38
425,Bullet Train (feat. Joni Fatora),Stephen Swartz,,2012,2023‑06‑08,130,70,55,-3,18,20,246,1,12,54
426,Dragostea Din Tei,O-Zone,eurodance,2002,2023‑04‑15,130,97,81,-4,7,71,214,16,4,3
427,Aria Math,C418,pixel,2013,2023‑04‑15,168,46,52,-13,10,54,310,75,6,66
428,i hope we never see each other again,bxnwxghxrn,,2022,2023‑04‑15,175,71,10,-8,10,9,403,13,8,20
429,C:\\AR?A_M4TH,bxnwxghxrn,,2022,2023‑04‑15,172,86,44,-8,8,10,380,7,10,34
430,The Moss,Cosmo Sheldrake,pov: indie,2014,2023‑03‑24,128,51,62,-6,14,44,243,69,3,0
431,Killbot!,chloe moriondo,alt z,2023,2023‑03‑20,150,59,71,-5,12,74,118,34,3,41
432,Dr Wily Fortess Stage,VG Cover Junkies,,2016,2023‑03‑19,150,42,52,-11,5,67,140,15,7,0
433,Pluto,VG Cover Junkies,,2016,2023‑03‑19,150,72,38,-11,45,88,114,36,4,0
434,Mercury,VG Cover Junkies,,2016,2023‑03‑19,150,68,42,-11,32,97,95,16,4,0
435,Sunstar,VG Cover Junkies,,2016,2023‑03‑19,150,77,43,-10,37,96,53,45,4,0
436,Jupiter,VG Cover Junkies,,2016,2023‑03‑19,150,66,40,-11,13,99,95,21,4,0
437,Uranus,VG Cover Junkies,,2016,2023‑03‑19,150,48,58,-10,16,97,69,18,6,0
438,DAT PHONK,Kordhell,drift phonk,2023,2023‑02‑17,157,100,63,-2,9,79,110,0,27,44
439,DO OR DIE,Dxrk ダーク,drift phonk,2021,2023‑02‑10,150,67,77,-9,10,34,96,15,8,60
440,AVOID ME,KUTE,aggressive phonk,2022,2023‑02‑10,114,96,66,-2,78,97,106,12,10,66
441,HERE I COME,ANT|QUE,,2022,2023‑02‑05,130,65,70,-3,12,50,148,0,5,43
442,METAMORPHOSIS,INTERWORLD,phonk brasileiro,2021,2023‑02‑02,175,64,59,-13,12,15,143,43,10,78
443,INCOMING,MC ORSEN,drift phonk,2021,2023‑02‑01,125,88,91,-5,6,31,140,0,4,61
444,WARNING - Sped Up,MC ORSEN,drift phonk,2022,2023‑02‑01,144,86,77,-5,8,52,109,1,8,63
445,GHOST!,phonk.me,gym phonk,2022,2023‑02‑01,125,94,58,-3,20,41,232,2,10,69
446,MURDER PLOT,Kordhell,drift phonk,2022,2023‑02‑01,140,97,60,-2,10,76,127,0,14,60
447,IMMACULATE,VISXGE,gym phonk,2022,2023‑02‑01,118,39,78,-8,66,34,141,0,36,56
448,METAMORPHOSIS 2,INTERWORLD,phonk brasileiro,2022,2023‑02‑01,105,87,61,-8,12,41,137,6,6,58
449,Murder In My Mind,Kordhell,drift phonk,2022,2023‑02‑01,120,97,71,-1,13,57,145,1,11,76
450,ヒアソビ (feat. 初音ミク),Camellia,denpa-kei,2022,2022‑12‑04,134,93,61,-4,32,66,245,2,9,45
451,Wizards in Winter - Instrumental,Trans-Siberian Orchestra,neo classical metal,2004,2022‑12‑04,148,84,68,-7,15,92,186,5,3,41
452,You're at the Party (Bonus Track),Lemon Demon,indietronica,2016,2022‑12‑04,156,85,51,-5,13,75,321,0,4,38
453,Oh My Dayum!,The Gregory Brothers,antiviral pop,2012,2022‑11‑30,96,77,61,-4,26,67,142,18,6,0
454,EPHMR,aran,j-core,2021,2022‑11‑20,101,95,52,-3,18,33,137,0,13,28
455,Heads Will Roll - A-Trak Remix Radio Edit,Yeah Yeah Yeahs,alternative dance,2019,2022‑11‑14,132,81,68,-3,24,87,204,1,8,65
456,Better Off Alone - Remix,Jackson Owl,,2022,2022‑11‑13,139,83,70,-12,7,97,369,3,6,0
457,Mlg,shamas,drift phonk,2021,2022‑11‑13,160,75,70,-7,7,76,121,22,26,14
458,KillerBeast,Camellia,denpa-kei,2019,2022‑11‑10,110,98,56,-2,16,29,247,1,45,27
459,Crazy's Theme,Ric Sandler,,2006,2022‑11‑07,158,75,53,-12,17,29,241,0,3,5
460,Gourmet Race,ColBreakz,speedrun,2017,2022‑11‑05,108,93,76,-4,21,61,207,0,5,36
461,Truths & Denials,6th,j-core,2020,2022‑10‑25,185,94,43,-4,17,7,287,1,8,17
462,CYCLE HIT,KASAI HARCORES,j-core,2017,2022‑10‑22,175,97,38,-3,12,13,319,0,28,38
463,Screamroom,Xtrullor,speedrun,2019,2022‑10‑19,128,97,55,-3,32,33,235,0,9,31
464,Post Void Single,Karl Flodin,indie game soundtrack,2020,2022‑10‑18,89,88,10,-1,15,14,229,0,5,27
465,In the Halls of the Usurper - Just Shovels & Knights Version,Kubbi,bitpop,2020,2022‑10‑18,155,91,55,-7,8,36,132,0,4,37
466,Cheat Codes,Nitro Fun,gaming edm,2014,2022‑10‑18,128,96,63,-4,89,15,212,0,8,0
467,An Endless Cycle (Wayne’s Theme),Chuck Salamone,,2021,2022‑10‑18,144,33,51,-18,10,28,360,56,3,32
468,Hype,Tokyo Machine,japanese dance pop,2017,2022‑10‑18,128,91,71,-5,28,81,183,0,9,0
469,Till It's Over,Tristam,brostep,2013,2022‑10‑18,110,84,61,-6,16,33,271,12,9,0
470,Vindicate Me,Big Giant Circles,chiptune,2014,2022‑10‑18,100,97,41,-6,36,20,206,0,10,31
471,"Search Man's Stage (From ""Mega Man 8"")",Arcade Player,sillycore,2021,2022‑10‑18,126,82,55,-9,33,78,127,0,3,7
472,Dubwoofer Substep,Omnitica,filthstep,2011,2022‑10‑18,109,84,53,-6,10,10,285,0,3,33
473,Granite,Shirobon,chiptune,2017,2022‑10‑18,128,95,70,-3,8,63,152,0,9,0
474,Banana Pancakes,Jack Johnson,neo mellow,2005,2022‑10‑18,114,38,82,-8,9,62,192,61,10,69
475,Limón,Sin Señal,,2022,2022‑10‑18,170,81,46,-7,37,96,224,21,3,14
476,Mega Man X3 / Blast Hornet Stage,ROCK-MEN,japanese vgm,2006,2022‑10‑18,96,95,48,-8,4,76,131,0,8,1
477,Everything I Own,Drive45,weirdcore,2020,2022‑10‑18,165,69,72,-8,7,77,201,7,7,30
